DATE_TIME,OBSERVATORY_NAME,SENSOR_TYPE,MINIMUM_TEMPERATURE,MAXIMUM_TEMPERATURE,AVERAGE_TEMPERATURE,MINIMUM_HUMIDITY,MAXIMUM_HUMIDITY,AVERAGE_HUMIDITY,MINIMUM_WIND,MAXIMUM_WIND,AVERAGE_WIND,MINIMUM_DIRECTIONOFWIND,MAXIMUM_DIRECTIONOFWIND,AVERAGE_DIRECTIONOFWIND,MINIMUM_PRECIPITATION,MAXIMUM_PRECIPITATION,AVERAGE_PRECIPITATION,MINIMUM_ROAD_TEMPERATURE,MAXIMUM_ROAD_TEMPERATURE,AVERAGE_ROAD_TEMPERATURE,MINIMUM_FELT_TEMPERATURE,MAXIMUM_FELT_TEMPERATURE,AVERAGE_FELT_TEMPERATURE
2021-04-01 05:00:00,DURUSU,ICING_SENSOR,5.786,7.306,6.59532,71.53,77.15,73.96617,3.204,7.657,4.70447,7,64,33.45,0,0,0,10.8,10.8,10.8,3.18,5.19,4.31367
2021-04-03 13:00:00,GUNGOREN_DAVUTPASA_MARMARA,AUTOMATED_WEATHER_SENSOR,19.7,20.3,19.95,44,48,45.61667,2.4,6,3.875,175,255,212.33333,0,0,0,-99,-99,-99,20.13,21.26,20.70483
2021-04-01 06:00:00,DURUSU,ICING_SENSOR,6.963,7.448,7.22867,73.04,76.27,75.28295,3.786,8.17,5.49848,7,66,37.44262,0,0,0,10.8,10.8,10.8,3.85,5.29,4.56361
2021-04-03 12:00:00,GUNGOREN_DAVUTPASA_MARMARA,AUTOMATED_WEATHER_SENSOR,17.8,19.5,18.96,45,51,47.23333,2.2,6.3,4.27333,191,251,215.61667,0,0,0,-99,-99,-99,17.7,20.42,19.42383
2021-04-03 11:00:00,GUNGOREN_DAVUTPASA_MARMARA,AUTOMATED_WEATHER_SENSOR,17.7,18.7,18.15333,47,51,48.98333,2.2,7,4.63333,185,245,214.75,0,0,0,-99,-99,-99,17.35,19.24,18.3685
2021-04-04 02:00:00,HACIOSMAN_SARIYER,ICING_SENSOR,13.27,13.95,13.55311,66.01,69.28,68.0677,1.41,5.33,3.09656,22,245,181.13115,0,0,0,12.5,13,12.7082,12.35,14.58,13.2877
2021-04-04 21:00:00,GUNGOREN_DAVUTPASA_MARMARA,AUTOMATED_WEATHER_SENSOR,7.9,8,7.995,94,96,95.33333,1.5,5.6,3.47167,2,69,41.41667,0,0,0,-99,-99,-99,5.57,7.98,6.573
2021-04-04 22:00:00,GUNGOREN_DAVUTPASA_MARMARA,AUTOMATED_WEATHER_SENSOR,7.8,8,7.87167,96,97,96.4,1.7,5.8,3.31667,0,359,67.88333,0,0,0,-99,-99,-99,5.25,7.77,6.49267
2021-04-03 15:00:00,ZINCIRLIKUYU,ICING_SENSOR,18.41,19.77,18.80426,44.06,48.25,46.30519,0.61,2.77,1.85296,131,256,182.2037,0,0,0,23.3,28.9,25.33889,19.01,21.06,19.98204
2021-04-02 20:00:00,HACIOSMAN_SARIYER,ICING_SENSOR,11.06,11.36,11.25933,60.9,65.26,62.46417,0.77,2.69,1.454,104,266,166.18333,0,0,0,11.8,12.5,12.115,10.6,12.55,11.72717
